City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint-Philippe,RE,-21.3585,55.7679,79.11,69,2,12.93,
1,Saint-Claude,FR,46.5,5.8333,62.26,84,0,4.81,
2,Tasiilaq,GL,65.6145,-37.6368,33.96,52,79,5.01,
3,Tuktoyaktuk,CA,69.4541,-133.0374,34.12,98,100,11.81,
4,East London,ZA,-33.0153,27.9116,70.74,68,0,17.27,
5,Saldanha,ZA,-33.0117,17.9442,62.76,66,100,9.28,
6,Nouadhibou,MR,20.931,-17.0347,80.58,44,90,20.71,
7,Vardo,NO,70.3705,31.1107,46.38,93,75,25.32,
8,Qaanaaq,GL,77.484,-69.3632,7.18,73,73,7.87,
9,Khatanga,RU,71.9667,102.5,18.48,96,100,6.98,
10,Mataura,NZ,-46.1927,168.8643,43.48,76,83,5.32,
11,Cape Town,ZA,-33.9258,18.4232,65.26,68,75,17.27,
12,Port Macquarie,AU,-31.4333,152.9167,62.89,89,97,6.2,
13,Poum,NC,-20.2333,164.0167,74.55,66,100,11.5,
14,Punta Arenas,CL,-53.15,-70.9167,37.51,81,0,14.97,
15,Mar Del Plata,AR,-38.0023,-57.5575,56.08,93,100,0.0,
16,Jamestown,US,42.097,-79.2353,54.72,75,0,4.61,
17,Saint-Augustin,CA,51.226,-58.6502,49.66,83,92,8.97,
18,Yellowknife,CA,62.456,-114.3525,45.12,81,75,11.5,
19,Matongo,TZ,-2.3833,34.0833,88.25,27,23,4.7,
20,North Bend,US,43.4065,-124.2243,55.92,100,100,4.61,
21,Bluff,NZ,-46.6,168.3333,43.81,61,69,15.75,
22,Summerville,US,33.0185,-80.1757,58.78,95,0,0.0,
23,Ponta Do Sol,PT,32.6667,-17.1,72.72,70,6,4.63,
24,Iki-Burul,RU,45.8208,44.6472,63.37,41,100,7.25,
25,New Norfolk,AU,-42.7826,147.0587,53.1,74,100,3.0,
26,Albany,US,42.6001,-73.9662,48.31,93,5,2.71,
27,Newala,TZ,-10.9431,39.2787,86.49,25,10,8.08,
28,Hilo,US,19.7297,-155.09,79.29,100,100,7.0,
29,Mehamn,NO,71.0357,27.8492,45.21,90,100,20.2,
30,Katsuura,JP,35.1333,140.3,59.09,93,100,19.6,
31,Kabalo,CD,-6.05,26.9167,84.36,51,100,1.68,
32,Tautira,PF,-17.7333,-149.15,76.19,75,100,22.35,
33,Faanui,PF,-16.4833,-151.75,78.04,75,12,25.88,
34,Synya,RU,65.3718,58.0387,41.94,92,100,8.19,
35,Praia Da Vitoria,PT,38.7333,-27.0667,68.76,94,75,11.97,
36,Quezada,GT,14.2722,-90.037,62.44,92,98,5.37,
37,Kudahuvadhoo,MV,2.6708,72.8944,81.57,78,100,21.09,
38,Watsa,CD,3.0372,29.5355,75.11,83,66,1.3,
39,Zhanaozen,KZ,43.3,52.8,73.83,8,80,12.86,
40,Kaniama,CD,-7.5667,24.1833,86.23,45,100,3.51,
41,Bengkulu,ID,-3.8004,102.2655,78.67,85,100,9.82,
42,Atuona,PF,-9.8,-139.0333,76.08,80,24,20.45,
43,San Miguel,SV,13.4833,-88.1833,71.74,97,100,2.86,
44,Castro,BR,-24.7911,-50.0119,56.34,96,100,7.25,
45,Camacha,PT,33.0833,-16.3333,69.22,68,20,13.8,
46,Mogwase,ZA,-25.185,27.2665,88.21,17,0,7.78,
47,Ushuaia,AR,-54.8,-68.3,35.26,87,20,10.36,
48,Murgab,TM,37.4966,61.9714,71.47,30,0,4.61,
49,Flinders,AU,-34.5833,150.8552,62.19,93,75,4.0,
50,Babati,TZ,-4.2167,35.75,81.23,34,97,5.91,
51,Salalah,OM,17.0151,54.0924,84.29,74,20,16.11,
52,Kilindoni,TZ,-7.9139,39.6668,78.33,70,56,11.21,
53,Ancud,CL,-41.8697,-73.8203,44.44,78,84,4.0,
54,Beringovskiy,RU,63.05,179.3167,39.9,71,2,31.63,
55,Barrow,US,71.2906,-156.7887,33.82,86,100,23.02,
56,Itaituba,BR,-4.2761,-55.9836,73.13,70,85,0.98,
57,Araouane,ML,18.9048,-3.5265,96.12,19,88,5.53,
58,Bredasdorp,ZA,-34.5322,20.0403,68.68,42,100,16.4,
59,Vaini,TO,-21.2,-175.2,73.56,100,75,3.44,
60,Narsaq,GL,60.9167,-46.05,35.82,79,12,6.71,
61,Bambanglipuro,ID,-7.95,110.2833,80.08,78,80,13.0,
62,Severo-Kurilsk,RU,50.6789,156.125,44.17,81,56,16.75,
63,Talnakh,RU,69.4865,88.3972,31.21,96,99,5.35,
64,Hermanus,ZA,-34.4187,19.2345,67.8,63,100,18.48,
65,Taywarah,AF,33.35,64.4167,61.66,3,0,6.53,
66,Savyntsi,UA,49.4026,37.0627,60.84,52,77,10.76,
67,Ipixuna,BR,-1.7625,-48.8043,72.79,95,30,4.94,
68,Stornoway,GB,58.2093,-6.3865,52.93,83,40,27.63,
69,Iqaluit,CA,63.7506,-68.5145,28.13,92,100,12.66,
70,La Rioja,ES,42.25,-2.5,56.98,68,100,3.4,
71,Arraial Do Cabo,BR,-22.9661,-42.0278,69.66,83,75,13.8,
72,Srednekolymsk,RU,67.45,153.6833,23.52,93,100,23.71,
73,Sitka,US,57.0531,-135.33,55.29,94,100,0.0,
74,Ayan,RU,56.45,138.1667,36.18,56,55,10.94,
75,Kaitangata,NZ,-46.2817,169.8464,41.56,74,83,12.75,
76,Rikitea,PF,-23.1203,-134.9692,68.88,67,75,20.49,
77,Yerbogachen,RU,61.2767,108.0108,34.3,65,65,4.18,
78,Norman Wells,CA,65.282,-126.8329,39.24,87,75,4.61,
79,Mahebourg,MU,-20.4081,57.7,77.29,65,75,17.27,
80,San Cristobal,VE,7.7669,-72.225,65.91,96,100,3.38,
81,Goure,NE,13.9835,10.2704,87.08,41,97,6.17,
82,Otane,NZ,-39.8833,176.6333,38.01,69,3,4.38,
83,Zhigansk,RU,66.7697,123.3711,24.33,73,34,25.32,
84,Dikson,RU,73.5069,80.5464,33.51,92,100,17.98,
85,Asau,RO,46.4333,26.4,60.28,42,100,4.09,
86,Busselton,AU,-33.65,115.3333,56.97,67,100,11.43,
87,Avera,US,33.194,-82.5271,50.38,53,6,1.77,
88,Puerto Ayora,EC,-0.7393,-90.3518,64.54,100,97,4.0,
89,Sawakin,SD,19.1059,37.3321,94.93,36,6,7.56,
90,Fayaoue,NC,-20.65,166.5333,74.23,70,100,21.72,
91,Provideniya,RU,64.3833,-173.3,39.54,70,67,34.05,
92,Hithadhoo,MV,-0.6,73.0833,82.53,74,16,20.76,
93,Port Alfred,ZA,-33.5906,26.891,65.17,77,100,7.0,
94,Kiama,AU,-34.6833,150.8667,62.38,94,72,8.99,
95,Anadyr,RU,64.75,177.4833,36.1,69,0,24.61,
96,Butaritari,KI,3.0707,172.7902,81.75,78,10,16.2,
97,Pervomayskoye,RU,43.919,46.7102,66.74,54,97,13.27,
98,Iquique,CL,-20.2208,-70.1431,55.44,68,0,5.84,
99,Hobart,AU,-42.8794,147.3294,53.46,89,75,12.66,
100,Kisangani,CD,0.5167,25.2,86.67,55,100,2.93,
101,Souillac,MU,-20.5167,57.5167,77.38,65,75,17.27,
102,Victor Harbor,AU,-35.5667,138.6167,64.69,86,93,5.23,
103,Half Moon Bay,US,37.4636,-122.4286,62.02,92,100,9.22,
104,Carnarvon,AU,-24.8667,113.6333,70.3,41,0,22.68,
105,The Valley,AI,18.217,-63.0578,82.26,70,97,20.51,
106,Grand Gaube,MU,-20.0064,57.6608,77.4,76,9,20.29,
107,Bambous Virieux,MU,-20.3428,57.7575,77.25,65,75,17.27,
108,Turukhansk,RU,65.8167,87.9833,32.74,91,100,2.1,
109,Bairiki,KI,1.3292,172.9752,82.4,78,20,8.05,
110,Geraldton,AU,-28.7667,114.6,64.81,52,0,17.27,
111,Kodiak,US,57.79,-152.4072,51.31,82,20,6.91,
112,Jalu,LY,29.0331,21.5482,79.74,34,0,10.36,
113,Riviere-Au-Renard,CA,48.9957,-64.3971,49.06,81,7,9.42,
114,Yumen,CN,40.2833,97.2,60.66,25,0,6.62,
115,Waiuku,NZ,-37.25,174.75,51.33,51,36,9.1,
116,Quatre Cocos,MU,-20.2078,57.7625,77.11,71,42,16.98,
117,Benghazi,LY,32.1167,20.0667,75.97,50,0,12.28,
118,Nara,JP,34.6851,135.8049,67.5,35,75,4.23,
119,Kandrian,PG,-6.2167,149.55,80.35,83,52,8.77,
120,Kaeo,NZ,-35.1,173.7833,50.32,78,13,7.29,
121,Deputatskiy,RU,69.3,139.9,16.52,90,99,10.09,
122,Thompson,CA,55.7435,-97.8558,28.56,64,100,4.61,
123,Balakhninskiy,RU,58.0106,114.2769,30.56,88,100,0.45,
