City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Saint-Philippe,RE,79.11,-21.3585,55.7679,Le four à pain
4,East London,ZA,70.74,-33.0153,27.9116,Tu Casa
6,Nouadhibou,MR,80.58,20.931,-17.0347,El Medina
23,Ponta Do Sol,PT,72.72,32.6667,-17.1,Hotel do Campo
27,Newala,TZ,86.49,-10.9431,39.2787,Mnyeu Newala
28,Hilo,US,79.29,19.7297,-155.09,Hilo Hawaiian Hotel
32,Tautira,PF,76.19,-17.7333,-149.15,Pension Oaoa
33,Faanui,PF,78.04,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
37,Kudahuvadhoo,MV,81.57,2.6708,72.8944,Niyama Private Islands Maldives
38,Watsa,CD,75.11,3.0372,29.5355,Hôtel Le Pacifique
39,Zhanaozen,KZ,73.83,43.3,52.8,K.korabay 28A
41,Bengkulu,ID,78.67,-3.8004,102.2655,Grage Hotel Bengkulu
42,Atuona,PF,76.08,-9.8,-139.0333,Villa Enata
43,San Miguel,SV,71.74,13.4833,-88.1833,Excalibur
46,Mogwase,ZA,88.21,-25.185,27.2665,De Skaap Accommodation & Event Venue
48,Murgab,TM,71.47,37.4966,61.9714,Wepa Nurlyýew
50,Babati,TZ,81.23,-4.2167,35.75,White Rose Lodge
51,Salalah,OM,84.29,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
52,Kilindoni,TZ,78.33,-7.9139,39.6668,Bustani B&B
56,Itaituba,BR,73.13,-4.2761,-55.9836,Hotel Campos
59,Vaini,TO,73.56,-21.2,-175.2,Keleti Beach Resort
61,Bambanglipuro,ID,80.08,-7.95,110.2833,Puri Brata
67,Ipixuna,BR,72.79,-1.7625,-48.8043,Chalé do Mato
79,Mahebourg,MU,77.29,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
90,Fayaoue,NC,74.23,-20.65,166.5333,Chez Dydyce Guesthouse
92,Hithadhoo,MV,82.53,-0.6,73.0833,Scoop Guest House
96,Butaritari,KI,81.75,3.0707,172.7902,Isles Sunset Lodge
100,Kisangani,CD,86.67,0.5167,25.2,Grand Ramela Hotel
101,Souillac,MU,77.38,-20.5167,57.5167,Shanti Maurice Resort & Spa
104,Carnarvon,AU,70.3,-24.8667,113.6333,Hospitality Carnarvon
105,The Valley,AI,82.26,18.217,-63.0578,CeBlue Villas & Beach Resort
106,Grand Gaube,MU,77.4,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
107,Bambous Virieux,MU,77.25,-20.3428,57.7575,Casa Tia Villa
109,Bairiki,KI,82.4,1.3292,172.9752,Tarawa Boutique Hotel
112,Jalu,LY,79.74,29.0331,21.5482,صاحبة الفخامة
